NUMERO_VARIABILI,TEMPO_R,TEMPO_PY_TABU,TEMPO_PY_HILL,TEMPO_PY_PATIENCE_HILL,TEMPO_PY_SINGLE_PROCESS,CARDINALITA,PERCENTUALE_DECREMENTO,DENSITA_RETE,NOTE
3,7,,10,7,18,2,-30.00,1,
4,9,,13,8,25,2,-30.77,1,
5,17,,14,9,38,2,21.43,1,
6,31,,23,13,71,2,34.78,1,
10,238,,69,38,286,2,244.93,1,
15,800,,161,130,670,2,396.89,1,
3,12,,13,8,,3,-7.69,1,
4,29,,21,11,,3,38.10,1,
5,51,,29,13,,3,75.86,1,
6,91,,45,18,,3,102.22,1,
10,263,,108,62,,3,143.52,1,
15,1323,,318,200,,3,316.04,1,
20,,,673,450,,3,,1,
3,27,,20,10,,4,35.00,1,
4,45,,27,13,,4,66.67,1,
5,73,,42,19,,4,73.81,1,
6,127,,56,25,,4,126.79,1,
10,470,,163,103,,4,188.34,1,
15,,,498,332,,4,,1,
