"Constraint","Variables","Density_Network","Cardinality","F1","Precision","Recall","Time"
0,3,0.1,2,1,1,1,4.2416
0,3,0.1,3,1,1,1,4.375900000000001
0,3,0.1,4,1,1,1,5.470599999999999
0,3,0.2,2,1,1,1,4.2007
0,3,0.2,3,1,1,1,3.8680000000000003
0,3,0.2,4,1,1,1,5.2419
0,3,0.3,2,1,1,1,3.9397999999999995
0,3,0.3,3,1,1,1,4.0379
0,3,0.3,4,1,1,1,4.651499999999999
0,3,0.4,2,1,1,1,3.7210999999999994
0,3,0.4,3,1,1,1,3.9566999999999997
0,3,0.4,4,1,1,1,4.7653
0,4,0.1,2,1,1,1,4.4635
0,4,0.1,3,1,1,1,5.486599999999999
0,4,0.1,4,1,1,1,7.1522
0,4,0.2,2,1,1,1,4.9171
0,4,0.2,3,1,1,1,4.970899999999999
0,4,0.2,4,1,1,1,7.1805
0,4,0.3,2,1,1,1,4.662599999999999
0,4,0.3,3,1,1,1,5.351099999999999
0,4,0.3,4,1,1,1,6.5017000000000005
0,4,0.4,2,1,1,1,4.124799999999999
0,4,0.4,3,1,1,1,5.0941
0,4,0.4,4,1,1,1,6.594499999999999
0,5,0.1,2,1,1,1,5.232399999999998
0,5,0.1,3,1,1,1,7.0179
0,5,0.1,4,1,1,1,9.753599999999999
0,5,0.2,2,1,1,1,5.394899999999999
0,5,0.2,3,1,1,1,6.6766999999999985
0,5,0.2,4,1,1,1,9.808299999999997
0,5,0.3,2,0.9908999999999999,1,0.9832999999999997,5.529800000000001
0,5,0.3,3,1,1,1,7.2177999999999995
0,5,0.3,4,1,1,1,9.158999999999999
0,5,0.4,2,1,1,1,5.0522
0,5,0.4,3,1,1,1,6.787000000000001
0,5,0.4,4,1,1,1,9.327699999999998
0,6,0.1,2,0.9889,1,0.9799999999999999,6.106400000000002
0,6,0.1,3,1,1,1,9.120099999999997
0,6,0.1,4,1,1,1,13.329799999999999
0,6,0.2,2,1,1,1,6.7585
0,6,0.2,3,1,1,1,8.870500000000002
0,6,0.2,4,1,1,1,14.5367
0,6,0.3,2,0.9940999999999999,1,0.9889,7.2258
0,6,0.3,3,1,1,1,9.946000000000002
0,6,0.3,4,1,1,1,13.142
0,6,0.4,2,1,1,1,6.502800000000001
0,6,0.4,3,1,1,1,9.602199999999996
0,6,0.4,4,1,1,1,13.681999999999999
0,10,0.1,2,1,1,1,16.663
0,10,0.1,3,1,1,1,25.004333333333335
0,10,0.1,4,1,1,1,40.922999999999995
0,10,0.2,2,1,1,1,17.412333333333333
0,10,0.2,3,1,1,1,29.306666666666665
0,10,0.2,4,0.9573333333333331,1,0.9243333333333332,45.94966666666667
0,10,0.3,2,1,1,1,18.818333333333328
0,10,0.3,3,0.9643333333333333,1,0.9353333333333333,31.788333333333334
0,10,0.3,4,0.9643333333333333,1,0.9353333333333333,45.415
0,10,0.4,2,1,1,1,18.914666666666665
0,10,0.4,3,0.9019999999999999,1,0.8306666666666667,32.840666666666664
0,10,0.4,4,0.7906666666666666,1,0.6553333333333333,44.82733333333333
0,15,0.1,2,1,1,1,46.10033333333333
0,15,0.1,3,1,1,1,74.59566666666666
0,15,0.1,4,0.9613333333333333,1,0.9306666666666666,130.95866666666666
0,15,0.2,2,1,1,1,59.94799999999999
0,15,0.2,3,0.8839999999999999,1,0.7949999999999999,99.26833333333332
0,15,0.2,4,0.8956666666666666,1,0.8123333333333334,140.31033333333335
0,15,0.3,2,1,1,1,63.623999999999995
0,15,0.3,3,0.853,1,0.7466666666666666,101.14333333333333
0,15,0.3,4,0.963,1,0.9333333333333333,120.60666666666667
0,15,0.4,2,1,1,1,70.46
0,15,0.4,3,0.5536666666666666,1,0.39399999999999996,85.53
0,15,0.4,4,0.38466666666666666,1,0.23999999999999996,117.26433333333333
0,20,0.1,2,1,1,1,125.31200000000001
0,20,0.1,3,0.996,1,0.9923333333333333,228.91866666666664
0,20,0.2,2,1,1,1,159.50866666666667
0,20,0.2,3,0.8953333333333333,1,0.815,241.38699999999997
0,20,0.3,2,1,1,1,181.593
0,20,0.3,3,0.5533333333333333,1,0.39166666666666666,239.16166666666666
0,20,0.4,2,0.9303333333333332,1,0.8723333333333333,206.94666666666666
0,20,0.4,3,0.18366666666666664,1,0.10200000000000001,184.05999999999997
1,3,0.1,2,1,1,1,0.1646
1,3,0.1,3,0.9066999999999998,0.8500999999999999,1,0.34979999999999994
1,3,0.1,4,0.8284,0.7268,1,0.6113999999999999
1,3,0.2,2,1,1,1,0.1799
1,3,0.2,3,0.9656999999999999,0.9417,1,0.35949999999999993
1,3,0.2,4,0.8388,0.7351000000000001,1,0.5843
1,3,0.3,2,1,1,1,0.1916
1,3,0.3,3,0.9856999999999998,0.9749999999999999,1,0.3927999999999999
1,3,0.3,4,0.8591,0.7751,1,0.5661
1,3,0.4,2,1,1,1,0.2037
1,3,0.4,3,0.9488999999999997,0.9134,1,0.3736
1,3,0.4,4,0.8698999999999999,0.7784,1,0.6037999999999999
1,4,0.1,2,1,1,1,0.3995
1,4,0.1,3,0.8931,0.8267000000000001,1,0.9450999999999998
1,4,0.1,4,0.7458,0.6181000000000001,1,1.5712
1,4,0.2,2,1,1,1,0.43299999999999994
1,4,0.2,3,0.9491999999999998,0.9099999999999999,1,0.9014000000000001
1,4,0.2,4,0.9145,0.8549999999999999,1,1.4676
1,4,0.3,2,1,1,1,0.5607
1,4,0.3,3,0.9817999999999999,0.9665999999999998,1,1.1361
1,4,0.3,4,0.8697999999999999,0.7726999999999999,1,1.689
1,4,0.4,2,0.9923000000000001,0.9856999999999998,1,0.5568
1,4,0.4,3,0.9433999999999998,0.8999,1,1.1758
1,4,0.4,4,0.8741000000000001,0.7896,1,1.8013000000000001
1,5,0.1,2,1,1,1,0.9742999999999997
1,5,0.1,3,0.9163,0.8595999999999999,1,2.0521
1,5,0.1,4,0.7851999999999999,0.6512,1,3.2288000000000006
1,5,0.2,2,1,1,1,0.9571000000000001
1,5,0.2,3,0.9308999999999998,0.8821999999999999,1,2.2826000000000004
