"Type","Variables","Cardinality","Mean(Time)","Mean(F1)","Mean(Precision)","Mean(Recall)"
0,3,2,6.874200000000002,0.9950000000000001,0.9916750000000002,1
0,3,3,8.321950000000001,1,1,1
0,3,4,9.953600000000002,1,1,1
0,4,2,8.655099999999997,0.9980750000000002,0.996425,1
0,4,3,11.171275000000001,1,1,1
0,4,4,14.211925,1,1,1
0,5,2,10.867424999999999,0.9958,0.9922499999999997,1
0,5,3,16.183874999999997,1,1,1
0,5,4,20.898549999999986,1,1,1
0,6,2,13.732249999999997,0.992,0.989375,0.9950000000000001
0,6,3,22.597725,1,1,1
0,6,4,30.300524999999997,1,1,1
0,10,2,41.81999999999999,0.9971666666666666,0.9944166666666663,1
0,10,3,78.58374999999997,0.9941666666666666,1,0.989
0,10,4,111.74891666666664,0.9614999999999998,1,0.9314166666666667
0,15,2,140.37924999999998,0.9966666666666666,0.9934999999999998,1
0,15,3,265.17425000000003,0.9293333333333331,1,0.8803333333333331
0,15,4,365.9387499999999,0.8784166666666665,1,0.8249166666666664
0,20,2,358.02675,0.9909166666666667,1,0.9828333333333332
0,20,3,665.9993333333332,0.7634166666666666,1,0.6860833333333332
1,3,2,5.213749999999999,1,1,1
1,3,3,5.870350000000001,0.9950000000000001,0.991675,1
1,3,4,6.349675,0.986425,0.9770999999999997,1
1,4,2,5.7200750000000005,0.9925250000000002,1,0.986425
1,4,3,6.644449999999998,1,1,1
1,4,4,7.891649999999999,0.9849499999999997,0.9741750000000001,1
1,5,2,6.630400000000001,0.9841250000000002,1,0.9711500000000002
1,5,3,8.493450000000001,1,1,1
1,5,4,11.00595,0.9880000000000004,0.977925,1
1,6,2,7.7311749999999995,0.9895749999999999,1,0.980875
1,6,3,11.372324999999998,0.9972250000000001,0.9950000000000001,1
1,6,4,15.032825,0.9735250000000003,0.9525750000000001,1
1,10,2,19.94358333333333,0.9780833333333332,1,0.9576666666666666
1,10,3,41.340333333333334,0.9820000000000001,1,0.9665833333333332
1,10,4,60.55291666666666,0.9498333333333331,0.9635833333333332,0.9440833333333334
1,15,2,60.70825000000001,0.87925,1,0.7961666666666666
1,15,3,122.86383333333332,0.8795833333333333,1,0.8062499999999999
1,15,4,177.44275,0.8874166666666665,0.9853333333333332,0.8375833333333335
1,20,2,141.7425,0.7769166666666664,1,0.6794999999999999
1,20,3,305.976,0.71275,1,0.6315833333333334
